Tempo,CPU,RAM
0,0.0,826.62890625
1,100.30000000000001,1209.32421875
2,221.70000000000002,1407.32421875
3,262.70000000000005,1695.37890625
4,373.8,1850.16015625
5,509.70000000000005,2265.8046875
6,443.7,2443.03515625
7,393.50000000000006,2689.78515625
8,296.4,2840.5859375
9,296.20000000000005,3100.19921875
10,463.4,3159.13671875
11,565.0000000000001,3419.625
12,472.6,3802.25
13,627.5,3947.79296875
14,428.00000000000006,4065.88671875
15,348.9000000000001,4168.84765625
17,504.1,4255.9296875
18,211.10000000000002,4439.125
19,275.09999999999997,4508.91015625
20,110.4,4518.5234375
21,64.3,4514.8671875
22,57.59999999999999,4516.046875
23,59.800000000000004,4505.046875
24,25.299999999999997,4509.48828125
25,20.299999999999997,4509.48828125
26,72.5,4516.84375
27,35.4,4517.65234375
28,84.3,4516.640625
29,73.2,4486.72265625
30,52.900000000000006,4486.1328125
31,112.50000000000003,4483.6015625
32,69.4,4486.62890625
33,37.7,4482.25
34,67.5,4486.01171875
35,103.9,4485.6328125
36,42.39999999999999,4463.65625
37,56.099999999999994,4453.2578125
39,106.7,4452.4921875
40,73.3,4425.40234375
41,42.4,4424.46875
42,94.60000000000001,4373.9609375
43,78.1,4366.42578125
44,57.5,4361.81640625
45,76.8,4358.3203125
46,104.89999999999999,4355.26171875
47,31.9,4355.83203125
48,37.5,4355.953125
49,75.1,4359.0
50,46.4,4359.6875
51,26.1,4360.5703125
52,75.69999999999999,4362.8359375
53,66.3,4363.66015625
54,28.0,4365.9375
55,51.3,4366.96875
56,74.89999999999999,4367.59375
58,31.8,4340.5703125
59,54.4,4340.828125
60,111.5,4332.140625
61,50.3,4332.234375
62,28.200000000000003,4331.25390625
63,77.8,4316.98828125
64,66.3,4315.26953125
65,25.0,4316.85546875
66,56.099999999999994,4315.984375
67,74.69999999999999,4313.671875
68,32.0,4311.38671875
69,40.3,4311.92578125
70,98.3,4299.50390625
71,48.099999999999994,4299.484375
72,27.3,4298.69921875
73,70.1,4297.4453125
74,80.6,4294.34765625
75,35.7,4288.30078125
76,81.69999999999999,4281.94140625
78,86.19999999999999,4287.26171875
79,31.9,4287.3984375
80,53.3,4283.68359375
81,76.60000000000001,4280.58203125
82,43.5,4280.2890625
83,58.9,4225.125
84,86.99999999999999,4228.1015625
85,85.7,4213.16015625
86,29.099999999999998,4221.75
87,56.099999999999994,4222.02734375
88,71.89999999999999,4220.6640625
89,27.2,4220.75
90,43.9,4225.35546875
91,70.2,4225.39453125
92,43.2,4225.421875
93,35.8,4224.24609375
94,81.49999999999999,4221.60546875
95,83.0,4222.453125
96,25.2,4218.8359375
98,60.79999999999999,4218.71875
99,67.8,4218.578125
100,28.1,4208.62109375
101,43.99999999999999,4206.453125
102,79.69999999999999,4206.4296875
103,39.599999999999994,4206.44140625
104,31.7,4205.88671875
105,104.20000000000002,4192.53125
106,53.0,4192.56640625
107,26.2,4192.61328125
108,78.39999999999999,4192.234375
109,75.69999999999999,4192.921875
110,27.0,4196.5
111,46.7,4197.1328125
112,74.89999999999999,4196.67578125
113,41.5,4196.7421875
114,28.1,4196.75
