Tempo,CPU,RAM
0,0.0,878.953125
1,106.69999999999999,1146.1953125
2,181.7,1362.46875
3,344.30000000000007,1685.84765625
4,382.70000000000005,1856.57421875
5,360.6,1997.60546875
6,524.6999999999999,2436.60546875
7,454.19999999999993,2630.3515625
8,325.6,2734.9921875
9,352.29999999999995,3034.4921875
10,486.5,3109.30078125
11,553.3,3380.03515625
12,599.5000000000001,3872.609375
13,749.9,4019.51171875
14,582.9,4362.02734375
15,451.6,4346.30078125
17,294.3,4469.5390625
18,183.30000000000004,4519.95703125
19,303.30000000000007,4767.6015625
20,248.00000000000003,4774.66015625
21,144.90000000000003,4770.17578125
22,93.6,4768.91796875
23,59.4,4768.9921875
24,108.50000000000003,4768.41796875
25,113.1,4769.30078125
26,102.10000000000002,4768.640625
27,88.0,4767.734375
28,118.0,4772.47265625
29,62.5,4773.2265625
30,72.1,4766.8359375
31,117.10000000000002,4766.33984375
32,76.1,4766.17578125
33,80.0,4764.2890625
34,100.20000000000002,4764.16796875
36,139.8,4745.40234375
37,91.30000000000001,4683.1953125
38,88.0,4680.15234375
39,113.50000000000001,4685.25390625
40,70.4,4677.62109375
41,93.39999999999999,4625.57421875
42,116.70000000000002,4616.78125
43,99.39999999999999,4598.21484375
44,81.1,4598.53125
45,168.2,4558.82421875
46,120.5,4558.04296875
47,48.8,4558.8671875
48,87.9,4508.328125
49,107.80000000000001,4509.328125
50,51.9,4510.375
51,66.3,4511.140625
52,113.3,4513.1953125
54,90.1,4504.3984375
55,51.3,4505.50390625
56,106.00000000000003,4506.546875
57,91.69999999999999,4507.47265625
58,49.2,4508.4375
59,111.6,4514.07421875
60,119.90000000000003,4516.3203125
61,58.4,4516.39453125
62,71.8,4516.3828125
63,117.40000000000002,4517.23046875
64,75.79999999999998,4518.078125
65,52.8,4518.265625
66,111.20000000000003,4516.4140625
67,89.39999999999999,4517.4609375
68,58.89999999999999,4521.3125
69,97.5,4521.7421875
70,115.50000000000003,4523.359375
71,73.19999999999999,4523.08984375
72,73.89999999999999,4523.05859375
74,137.60000000000002,4512.44921875
75,88.9,4508.2578125
76,61.099999999999994,4509.84375
77,125.30000000000003,4508.40234375
78,101.8,4501.109375
79,56.0,4502.671875
80,101.10000000000002,4508.8046875
81,108.9,4506.3359375
82,59.599999999999994,4506.9765625
83,72.89999999999999,4503.9296875
84,218.70000000000005,4502.1171875
85,126.0,4428.546875
86,70.89999999999999,4428.19140625
87,112.20000000000003,4427.76171875
88,103.60000000000001,4418.83203125
89,53.1,4422.9375
90,101.30000000000001,4423.20703125
91,100.2,4423.1953125
93,54.0,4423.3515625
94,79.8,4423.109375
95,144.00000000000006,4423.96875
96,58.8,4419.0390625
97,77.6,4418.70703125
98,110.20000000000003,4418.8125
99,95.4,4418.4609375
100,52.9,4418.546875
101,101.20000000000002,4417.96484375
102,101.00000000000001,4417.42578125
103,59.8,4425.890625
104,84.39999999999999,4428.6171875
105,106.00000000000001,4428.46875
106,57.800000000000004,4428.609375
107,72.19999999999999,4424.53515625
108,130.8,4425.40625
109,108.2,4413.8046875
110,51.1,4413.9296875
111,103.60000000000002,4413.66796875
113,95.2,4412.9296875
114,50.2,4412.9453125
115,81.6,4417.38671875
