Tempo,CPU,RAM
0,0.0,530.0703125
1,91.3,533.703125
2,138.8,553.77734375
3,83.6,596.69140625
4,61.3,601.2265625
5,124.0,634.328125
6,141.4,630.2734375
7,123.8,627.74609375
8,105.5,606.69140625
9,219.0,662.984375
10,166.4,716.421875
11,99.6,700.40234375
12,124.7,704.0546875
13,104.5,715.35546875
14,282.4,823.87890625
15,167.7,822.2421875
16,141.0,834.1171875
18,96.9,841.859375
19,178.4,844.39453125
20,171.2,845.35546875
21,154.6,847.625
22,185.2,883.0234375
23,90.6,895.81640625
24,54.3,895.828125
25,67.4,897.9609375
26,82.2,898.296875
27,69.3,899.67578125
28,130.2,903.6640625
29,85.1,900.82421875
30,63.7,900.47265625
31,54.3,900.4609375
32,64.6,902.44921875
34,77.0,902.45703125
35,115.8,901.9296875
36,62.8,902.26953125
37,71.9,902.71484375
38,56.2,902.73828125
39,65.1,902.26953125
40,74.9,904.7109375
41,60.0,904.72265625
42,54.1,904.73046875
43,68.4,904.74609375
44,71.2,904.5390625
45,62.8,904.5859375
46,68.5,904.59375
47,69.3,904.60546875
48,73.1,906.90234375
50,89.0,910.6796875
51,83.3,911.17578125
52,64.5,911.265625
53,66.4,911.70703125
54,80.2,912.43359375
55,69.1,912.75390625
56,64.6,913.5234375
57,136.9,918.0703125
58,81.4,919.66015625
59,59.0,918.53515625
60,66.6,918.609375
61,74.0,918.71484375
62,62.8,918.765625
63,65.6,918.9296875
65,76.8,921.05859375
66,63.7,921.08984375
67,65.6,920.921875
68,89.8,908.1796875
69,59.1,908.19140625
70,66.3,908.28515625
71,78.4,908.4140625
72,78.8,908.11328125
73,51.5,910.20703125
74,58.7,910.19140625
75,63.8,910.203125
76,58.1,910.21875
77,76.3,910.23046875
78,109.8,910.234375
80,52.1,910.2421875
81,49.6,910.25
82,93.4,907.50390625
83,63.7,907.52734375
84,52.3,907.53515625
85,68.3,907.56640625
86,70.9,907.58984375
87,54.3,907.61328125
88,65.5,907.87109375
89,76.8,907.95703125
90,54.3,907.96875
91,55.3,907.984375
92,69.0,908.0390625
93,60.9,908.0625
95,58.1,908.40234375
96,65.4,908.4453125
97,59.9,908.4453125
98,47.8,908.453125
99,58.4,908.45703125
100,61.4,908.46484375
101,47.8,908.47265625
102,55.3,908.47265625
103,66.6,908.48828125
104,51.5,908.49609375
105,50.6,908.5
106,65.6,908.49609375
107,55.2,908.49609375
108,47.7,908.5
110,60.9,908.50390625
111,62.6,908.51171875
112,49.7,908.51953125
113,55.4,908.52734375
114,62.9,908.53125
115,49.7,908.53515625
116,52.5,908.5390625
117,167.5,908.734375
118,165.0,739.375
119,53.2,0.0
120,0.0,0.0
